trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
AIR_428_V5_M,12:13:00,12:13:00,90404,4,0,0
AIR_428_V5_M,12:17:00,12:17:00,90405,7,0,0
AIR_428_V5_M,12:27:00,12:27:00,90406,13,0,0
AIR_430_V6_M,12:39:00,12:39:00,90401,1,0,0
AIR_430_V6_M,12:41:00,12:41:00,90402,2,0,0
AIR_430_V6_M,12:42:00,12:42:00,90403,3,0,0
AIR_430_V6_M,12:43:00,12:43:00,90404,4,0,0
AIR_430_V6_M,12:47:00,12:47:00,90405,7,0,0
AIR_430_V6_M,12:57:00,12:57:00,90406,13,0,0
AIR_430_V7_M,12:39:00,12:39:00,90401,1,0,0
AIR_430_V7_M,12:41:00,12:41:00,90402,2,0,0
AIR_430_V7_M,12:42:00,12:42:00,90403,3,0,0
AIR_430_V7_M,12:43:00,12:43:00,90404,4,0,0
AIR_430_V7_M,12:47:00,12:47:00,90405,7,0,0
AIR_430_V7_M,12:57:00,12:57:00,90406,13,0,0
AIR_4304_V6_M,06:09:00,06:09:00,90401,1,0,0
AIR_4304_V6_M,06:11:00,06:11:00,90402,2,0,0
AIR_4304_V6_M,06:12:00,06:12:00,90403,3,0,0
AIR_4304_V6_M,06:13:00,06:13:00,90404,4,0,0
AIR_4304_V6_M,06:17:00,06:17:00,90405,7,0,0
AIR_4304_V6_M,06:27:00,06:27:00,90406,13,0,0
AIR_4304_V7_M,06:09:00,06:09:00,90401,1,0,0
AIR_4304_V7_M,06:11:00,06:11:00,90402,2,0,0
AIR_4304_V7_M,06:12:00,06:12:00,90403,3,0,0
AIR_4304_V7_M,06:13:00,06:13:00,90404,4,0,0
AIR_4304_V7_M,06:17:00,06:17:00,90405,7,0,0
AIR_4304_V7_M,06:27:00,06:27:00,90406,13,0,0
AIR_4308_V6_M,07:09:00,07:09:00,90401,1,0,0
AIR_4308_V6_M,07:11:00,07:11:00,90402,2,0,0
AIR_4308_V6_M,07:12:00,07:12:00,90403,3,0,0
AIR_4308_V6_M,07:13:00,07:13:00,90404,4,0,0
AIR_4308_V6_M,07:17:00,07:17:00,90405,7,0,0
AIR_4308_V6_M,07:27:00,07:27:00,90406,13,0,0
AIR_4308_V7_M,07:09:00,07:09:00,90401,1,0,0
AIR_4308_V7_M,07:11:00,07:11:00,90402,2,0,0
AIR_4308_V7_M,07:12:00,07:12:00,90403,3,0,0
AIR_4308_V7_M,07:13:00,07:13:00,90404,4,0,0
AIR_4308_V7_M,07:17:00,07:17:00,90405,7,0,0
AIR_4308_V7_M,07:27:00,07:27:00,90406,13,0,0
AIR_4312_V6_M,08:09:00,08:09:00,90401,1,0,0
AIR_4312_V6_M,08:11:00,08:11:00,90402,2,0,0
AIR_4312_V6_M,08:12:00,08:12:00,90403,3,0,0
AIR_4312_V6_M,08:13:00,08:13:00,90404,4,0,0
